File,Total Word Count,Total Characters,Average Word Length,Unique Word Count,Count without Stopword,Image Size,Image Shape (Width),Image Shape (Height),Image Shape (Color Depth),Image Mean R,Image Mean G,Image Mean B,Mean Color (Depth [0]),Image Std Dev R,Image Std Dev G,Image Std Dev B
MG_095.txt,0,0,na,0,0,27486417,3493,2623,3,166.0772524,218.1550886,226.594178,0,51.00966438,59.57749744,60.72840933
MG_096.txt,71,332,4.68,30,34,27803412,3444,2691,3,97.80351386,154.5409114,170.1001439,0,57.91264154,68.60751058,82.06507187
MG_097.txt,134,607,4.53,47,70,27606579,3487,2639,3,178.8600963,219.911728,226.93197,0,55.37974015,60.20257057,57.13976962
MG_098.txt,121,572,4.73,44,60,27580746,3442,2671,3,173.3469951,218.0063151,228.7244416,0,59.27673977,64.53233077,57.03071516
MG_099.txt,14,67,4.79,11,14,27462708,3486,2626,3,161.3100332,213.3424912,225.6250203,0,55.66375521,63.88081872,58.77746366
MG_100.txt,89,412,4.63,34,43,27679401,3483,2649,3,105.7747064,167.2770781,178.4423947,0,62.15870263,65.73398357,82.08986803
MG_101.txt,178,893,5.02,53,93,27517854,3493,2626,3,177.615025,221.5003464,229.819197,0,59.13970691,62.22460387,53.64341558
MG_102.txt,179,891,4.98,49,111,27758484,3489,2652,3,186.319423,229.1857456,235.8166819,0,52.98317378,57.80249251,55.538215
MG_103.txt,3,21,7,3,3,27741264,3508,2636,3,160.8927075,218.6747617,226.7758947,0,55.42473392,59.7428407,61.79615137
MG_104.txt,87,424,4.87,39,43,26839344,3473,2576,3,104.7746748,157.1015739,164.8170074,0,63.75117061,78.84368135,88.17333142
MG_105.txt,184,897,4.88,63,103,27967824,3489,2672,3,175.7133399,221.7178646,226.9248549,0,58.60423424,58.97900074,54.84552453
MG_106.txt,2,9,4.5,1,1,27687744,3488,2646,3,183.1594677,228.1900123,230.9058094,0,55.61409904,58.10010083,58.6617062
MG_107.txt,145,669,4.61,59,91,27648783,3519,2619,3,118.0016171,170.8213922,186.5290794,0,60.53996094,70.12779085,75.80284281
MG_108.txt,130,631,4.85,40,71,27847800,3438,2700,3,162.9790342,219.8031371,230.2263121,0,49.32815264,55.16951389,57.13011146
MG_109.txt,144,677,4.7,59,68,27565020,3507,2620,3,179.6772777,222.7124628,232.2628159,0,61.91661813,64.91595875,56.41484154
MG_110.txt,112,513,4.58,42,63,27805668,3443,2692,3,170.3324353,217.3128251,230.671756,0,62.12842989,65.21989099,54.11435965
MG_111.txt,10,14,1.4,6,8,27313425,3495,2605,3,163.5755306,220.4715181,233.9550819,0,47.39655725,51.0690218,48.29251893
MG_112.txt,120,619,5.16,39,66,27594450,3445,2670,3,124.8535163,169.730584,183.4482918,0,58.98099628,66.80814334,71.07248271
MG_113.txt,195,991,5.08,69,122,27504690,3490,2627,3,180.6830492,227.6381279,235.6806176,0,52.96239837,54.16176161,48.7378309
MG_114.txt,112,579,5.17,47,64,25248111,3349,2513,3,174.5422796,220.771849,230.4289776,0,66.42702888,65.63306843,55.05914589
MG_115.txt,4,21,5.25,3,3,25300884,3356,2513,3,161.4057476,216.2939245,230.7596984,0,55.5183262,60.38386853,49.52038494
MG_116.txt,177,826,4.67,59,81,24974250,3350,2485,3,125.6761413,184.9580237,204.0593641,0,57.55689406,66.85219414,66.41619744
MG_117.txt,149,722,4.85,61,71,25029384,3352,2489,3,181.1902604,228.1582253,233.0992501,0,56.55333951,54.58699369,54.21140716
MG_118.txt,148,637,4.3,42,72,27849987,3473,2673,3,178.2493561,224.3259314,229.6235761,0,57.77550733,61.37378135,59.84708334
MG_119.txt,4,16,4,1,1,27812421,3513,2639,3,164.8377938,219.9801885,231.8410636,0,53.0221722,59.71826229,56.50311028
MG_121.txt,114,543,4.76,48,59,27465696,3447,2656,3,189.003511,233.5323482,236.1087096,0,47.68544359,52.5349532,52.43759468
MG_123.txt,121,623,5.15,49,75,27269268,3484,2609,3,162.5592307,217.1471326,230.9087882,0,55.28383049,61.04462967,53.86826148
MG_125.txt,202,911,4.51,56,101,28536219,3483,2731,3,169.1135983,217.0671643,225.8186766,0,58.70003731,61.94881829,59.27992034
MG_127.txt,151,719,4.76,45,91,25188840,3372,2490,3,98.64980289,153.9366374,170.3766461,0,61.45496077,69.69179795,72.27885142
TandemAllText.txt,17317,88987,5.14,2329,9945,26443269,3363,2621,3,189.2761134,236.1686248,239.443717,0,44.03738068,44.78979481,42.25957474
